order_date, order_week, distribution_center, sales_order, pool, item_number, mold, order_quantity, ship_month, week_ship, production_department, cast_completed, cast_shortage, casting_deadline, export_to_ie, pending_export, remarks
2024-12-03 00:00:00,W49,TDC,SO24004158,OEM 2025 Cycle C Global MF,763785C01,,274.0,Mar,W10,Cell-5,,-274,,,-274,
2024-12-03 00:00:00,W49,TDC,SO24004156,OEM 2025 Cycle C Global MF,763785C01,,2111.0,Mar,W10,Cell-5,,-2111,,,-2111,
2024-12-03 00:00:00,W49,UKD,SO24004174,OEM 2025 Cycle C Global MF,763785C01,,2586.0,Mar,W10,Cell-1,,-2586,,,-2586,
2024-12-03 00:00:00,W49,UKD,SO24004177,OEM 2025 Cycle C Global MF,763785C01,,230.0,Mar,W10,Cell-1,,-230,,,-230,
2024-12-11 00:00:00,W50,PAN,SO24004373,OEM Replenishment order,193158C01-50,,50.0,Feb,W6,Cell-5,,-50,,,-50,
2024-12-11 00:00:00,W50,PAN,SO24004373,OEM Replenishment order,193158C01-52,,50.0,Feb,W6,Cell-5,,-50,,,-50,
2024-12-11 00:00:00,W50,PAN,SO24004373,OEM Replenishment order,193158C01-54,,50.0,Feb,W6,Cell-5,,-50,,,-50,
2024-12-11 00:00:00,W50,PAN,SO24004373,OEM Replenishment order,193158C01-56,,50.0,Feb,W6,Cell-5,,-50,,,-50,
2024-12-11 00:00:00,W50,EDC,SO24004369,OEM Replenishment order,193158C01-58,,50.0,Feb,W6,Cell-5,,-50,,,-50,
2024-12-11 00:00:00,W50,PAN,SO24004373,OEM Replenishment order,193158C01-58,,100.0,Feb,W6,Cell-5,,-100,,,-100,
2024-12-11 00:00:00,W50,PAN,SO24004373,OEM Replenishment order,196316CZ-64,,550.0,Feb,W5,Cell-5,,-550,,,-550,
2024-12-11 00:00:00,W50,TDC,SO24004375,OEM Replenishment order,196316CZ-64,,100.0,Feb,W5,Cell-5,,-100,,,-100,
2024-12-11 00:00:00,W50,TDC,SO24004375,OEM Replenishment order,293171C01,,50.0,Feb,W6,Cell-5,,-50,,,-50,
2024-12-11 00:00:00,W50,EDC,SO24004369,OEM Replenishment order,296317CZ,,850.0,Feb,W6,Cell-5,,-850,,,-850,
2024-12-11 00:00:00,W50,PAN,SO24004373,OEM Replenishment order,296317CZ,,1000.0,Feb,W6,Cell-5,,-1000,,,-1000,
2024-12-11 00:00:00,W50,TDC,SO24004375,OEM Replenishment order,296317CZ,,1700.0,Feb,W6,Cell-5,,-1700,,,-1700,
2024-12-11 00:00:00,W50,TDC,SO24004375,OEM Replenishment order,296319CZ,,200.0,Feb,W6,Cell-5,,-200,,,-200,
2024-12-11 00:00:00,W50,UKD,SO24004379,OEM Essential Order,296319CZ,,750.0,Feb,W6,Cell-5,,-750,,,-750,
2024-12-11 00:00:00,W50,UKD,SO24004378,OEM Replenishment order,298307C00,,2500.0,Feb,W6,Cell-5,,-2500,,,-2500,
2024-12-11 00:00:00,W50,TDC,SO24004375,OEM Replenishment order,593317C00-1,,100.0,Feb,W6,Cell-5,,-100,,,-100,
2024-12-11 00:00:00,W50,PAN,SO24004373,OEM Replenishment order,593317C00-2,,100.0,Feb,W6,Cell-5,,-100,,,-100,
2024-12-11 00:00:00,W50,TDC,SO24004375,OEM Replenishment order,593317C00-2,,100.0,Feb,W6,Cell-5,,-100,,,-100,
2024-12-11 00:00:00,W50,UKD,SO24004378,OEM Replenishment order,593317C00-2,,150.0,Feb,W6,Cell-5,,-150,,,-150,
